epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8109452,0.10952401,0.5132619288502908,1e-04,0.24127688,0.44663942,0.90809155,0.07550807,0.5621261522173882,0.0,0.0
1,0.912371,0.14277017,0.35705134138769035,1e-04,0.5645024,0.41901082,0.90809155,0.07569015,0.4407404698431492,0.0,0.0
2,0.9312206,0.17441298,0.2932828490831414,1e-04,0.7236712,0.47317204,0.90809155,0.07042316,0.3760032579302788,0.0,0.0
3,0.942512,0.2094159,0.2550505522562533,1e-04,0.7746464,0.582535,0.9080005,0.05707468,0.35061392933130264,0.0,0.0
4,0.95081013,0.24558909,0.22631034206370917,1e-04,0.8043972,0.66413325,0.9060704,0.05631111,0.3303537629544735,0.21185526,0.008015307
5,0.95722806,0.27860987,0.20376988345262956,1e-04,0.833855,0.7136341,0.9078459,0.06935996,0.3092811293900013,0.49316168,0.061926067
6,0.961928,0.30517527,0.1867218586255093,1e-04,0.85624784,0.74719167,0.9158725,0.11111072,0.2837324272841215,0.6398142,0.2047074
7,0.96443856,0.32457426,0.1749203663699481,1e-04,0.86707413,0.76605886,0.9207398,0.110558376,0.26767152547836304,0.85570365,0.16967955
8,0.96911216,0.3485222,0.16057523215303615,1e-04,0.89112467,0.7959888,0.9388085,0.19643307,0.22431429103016853,0.85000026,0.41754168
9,0.97287893,0.3725226,0.14773329386905748,1e-04,0.90904385,0.8211606,0.935286,0.27075517,0.2231797631829977,0.656823,0.66454923
10,0.9738995,0.3884424,0.14042329441527931,1e-04,0.9115106,0.8308945,0.93308973,0.28410372,0.23259293474256992,0.63366205,0.70011324
11,0.97446126,0.4011933,0.13463921057326453,1e-04,0.9119371,0.83706415,0.94154507,0.29997134,0.2036315407603979,0.6999904,0.67331845
12,0.97528106,0.41292435,0.12888125682971915,1e-04,0.917233,0.84018844,0.9507864,0.331426,0.181425454095006,0.7600994,0.712475
13,0.97614723,0.42603794,0.12290840480400592,1e-04,0.91979206,0.84783137,0.93550885,0.31880423,0.20941222086548805,0.63960844,0.7410362
14,0.97710097,0.4386417,0.11726634730489886,1e-04,0.92603064,0.8524204,0.92941236,0.3062049,0.22514452785253525,0.61039966,0.7001649
15,0.97829455,0.452875,0.11130200429838531,1e-04,0.9309935,0.8607273,0.8980923,0.29154086,0.328585896641016,0.47570178,0.7773568
16,0.9796905,0.46971694,0.10491426103577321,1e-04,0.93605137,0.8715232,0.9109072,0.3206438,0.2794210985302925,0.5195836,0.81720203
17,0.98069054,0.48347846,0.10012129831070803,1e-05,0.931397,0.89026237,0.9619531,0.36828327,0.14404619298875332,0.8824071,0.69628656
18,0.9834379,0.4935749,0.09453711965862585,1e-05,0.9543379,0.8956251,0.9624396,0.36591852,0.1438948456197977,0.8907637,0.69311035
19,0.9839502,0.49779308,0.09308797434276464,1e-05,0.95582026,0.90010434,0.9625777,0.36699876,0.14366354513913393,0.8911436,0.6945338
